Date;SB;Attendance;Winner;QB  Winner;Coach Winner;Winning Pts;Loser;QB Loser;Coach Loser;Losing Pts;MVP;Stadium;City;State;Point Difference;Referee;Umpire;Head Linesman;Line Judge;Field Judge;Back Judge;Side Judge;Geo Shape;Geo Point 2D
2011-02-06;XLV;103219;Green Bay Packers;Aaron Rodgers;Mike McCarthy;31;Pittsburgh Steelers;Ben Roethlisberger;Mike Tomlin;25;Aaron Rodgers;Cowboys Stadium;Arlington;Texas;6;Walt Anderson[5];Chad Brown;Kent Payne;John Hussey;Doug Rosenbaum;Scott Helverson;Mike Weatherford;"{""coordinates"": [[[-93.5782360502, 31.2161310898], [-93.4898435127, 31.0796019557], [-93.5861683825, 30.7139395208], [-93.6501954821, 30.6054706894], [-93.7375028145, 30.3668030869], [-93.6644840157, 30.3001404892], [-93.6671195137, 30.1006436223], [-93.8168778145, 29.9683519557], [-93.9184736804, 29.8217717555], [-93.84842, 29.71363], [-94.6900028145, 29.4799321559], [-95.6001798165, 28.73855622], [-96.5939434476, 28.3072905543], [-97.1400341459, 27.8299811874], [-97.3702268135, 27.3801895208], [-97.3797611153, 26.6901541204], [-97.3300225492, 26.2102092555], [-97.1400341459, 25.869945787], [-97.5300361804, 25.8397925888], [-98.2401737129, 26.0599341904], [-99.020177782, 26.3700186223], [-99.3001090157, 26.8399124212], [-99.520224779, 27.5399988876], [-100.1102662829, 28.1099124212], [-100.4558007475, 28.696233222], [-100.9574497139, 29.380971788], [-101.6622904122, 29.7794229192], [-102.4798632475, 29.7598633896], [-103.1101090157, 28.9698082545], [-103.9398258126, 29.2698416204], [-104.4568226794, 29.57199372], [-104.7055413481, 30.1218051214], [-105.0373298816, 30.6440988225], [-105.6315830147, 31.0838394231], [-106.142766283, 31.3997374537], [-106.5073435128, 31.7542894557], [-106.6195330473, 31.9140988226], [-106.6301267159, 31.9992874212], [-105.73000078, 31.9992874212], [-103.9297747465, 31.9992874212], [-103.0016143461, 31.9992874212], [-103.0016143461, 33.8799478216], [-103.0016143461, 36.4993228216], [-102.0014945137, 36.4993228216], [-101.0008320788, 36.4993228216], [-100.0001954822, 36.4993228216], [-100.0001954822, 35.5198477239], [-100.0001954822, 34.5652289902], [-99.7615278796, 34.4577936875], [-99.5990830147, 34.3762999537], [-99.3360758126, 34.4429625514], [-99.1874027169, 34.2355591904], [-98.8518934802, 34.1646332871], [-98.553978848, 34.1106572536], [-98.0883225167, 34.1344800888], [-97.9570902169, 33.8936937526], [-97.6570310128, 33.9937134873], [-97.3765830147, 33.8381415879], [-97.104067349, 33.7735977239], [-96.9479528471, 33.9180591904], [-96.7966184151, 33.7513510198], [-96.4627111478, 33.8053270534], [-96.3161309476, 33.7561310898], [-96.1489060127, 33.7979373235], [-95.9774694486, 33.8794310573], [-95.7694976469, 33.8810071884], [-95.4181237455, 33.8704135198], [-95.1905924141, 33.9381613226], [-94.9101444161, 33.8317853867], [-94.479912279, 33.6359833847], [-94.4275382149, 33.5703801539], [-94.2333381823, 33.5836093206], [-94.0020861478, 33.5799144557], [-94.0597570463, 33.0121196559], [-93.9989080472, 31.9426500514], [-93.8348612129, 31.8299437526], [-93.7793090482, 31.67543122], [-93.6941204496, 31.4436624212], [-93.5782360502, 31.2161310898]]], ""type"": ""Polygon""}";31.4555082562,-99.328675661
1981-01-25;XV;76135;Oakland Raiders;Jim Plunkett;Tom Flores;27;Philadelphia Eagles;Ron Jaworski;Dick Vermeil;10;Jim Plunkett;Louisiana Superdome;New Orleans;Louisiana;17;Ben Dreith;Frank Sinkovitz;Tony Veteri;Tom Dooley;Fritz Graf;Tom Kelleher;Dean Look;"{""coordinates"": [[[-89.21767, 29.29108], [-89.4083872139, 29.1597708196], [-89.77928, 29.30714], [-90.15463, 29.11743], [-90.880225, 29.148535], [-91.626785, 29.677], [-92.49906, 29.5523], [-93.22637, 29.78375], [-93.84842, 29.71363], [-93.9184736804, 29.8217717555], [-93.8168778145, 29.9683519557], [-93.6671195137, 30.1006436223], [-93.6644840157, 30.3001404892], [-93.7375028145, 30.3668030869], [-93.6501954821, 30.6054706894], [-93.5861683825, 30.7139395208], [-93.4898435127, 31.0796019557], [-93.5782360502, 31.2161310898], [-93.6941204496, 31.4436624212], [-93.7793090482, 31.67543122], [-93.8348612129, 31.8299437526], [-93.9989080472, 31.9426500514], [-94.0597570463, 33.0121196559], [-93.0940278796, 33.0105176865], [-92.0013038806, 33.0438748235], [-91.1562391833, 33.0100009222], [-91.0847965157, 32.9528467881], [-91.1757987129, 32.8083853216], [-91.0308204821, 32.6025322535], [-91.0720841133, 32.4787155218], [-90.9429705472, 32.3067363551], [-91.0816184151, 32.2045978867], [-91.1281788806, 32.0156946884], [-91.3213195463, 31.8595801865], [-91.4112882149, 31.6500322535], [-91.5022904121, 31.408729153], [-91.6245310127, 31.297082221], [-91.5837841459, 31.0473300237], [-90.7016674466, 31.0155748561], [-89.7592185127, 31.0134561224], [-89.7877955798, 30.8472905543], [-89.8539414131, 30.68324372], [-89.790456916, 30.5567914902], [-89.6586820137, 30.4408812526], [-89.6232319811, 30.2752582871], [-89.6047059802, 30.1762979192], [-89.413735, 29.89419], [-89.43, 29.48864], [-89.21767, 29.29108]]], ""type"": ""Polygon""}";31.0480777894,-91.9572061819
2003-01-26;XXXVII;67603;Tampa Bay Buccaneers;Brad Johnson;Jon Gruden;48;Oakland Raiders;Rich Gannon;Bill Callahan;21;Dexter Jackson;Qualcomm Stadium;San Diego;California;27;Bill Carollo;Ed Coukart;Dale Williams;Mark Steinkerchner;Tom Sifferman;Don Carey;Rick Patterson;"{""coordinates"": [[[-114.3549006824, 34.464666653], [-114.165971646, 34.2725853541], [-114.4691831124, 34.0672748886], [-114.5485581124, 33.6095250514], [-114.7433007475, 33.3798749863], [-114.6914434477, 33.2036841904], [-114.6559934152, 33.0539000514], [-114.479776781, 32.9163373886], [-114.5898475818, 32.7162979192], [-114.72139, 32.72083], [-115.9910798816, 32.6125833196], [-117.1277288481, 32.5353270533], [-117.2959376913, 33.0462246152], [-117.944, 33.6212364312], [-118.4106022759, 33.7409092231], [-118.5198948228, 34.0277815776], [-119.081, 34.078], [-119.438840642, 34.3484771783], [-120.367816122, 34.4472258571], [-120.6228651536, 34.6086113551], [-120.7445889899, 35.1568207871], [-121.714555624, 36.1617206894], [-122.5474505215, 37.5518167181], [-122.5120004889, 37.7836113551], [-122.9533172207, 38.1137979193], [-123.7269650885, 38.9514728867], [-123.8650703538, 39.7669269883], [-124.3979577236, 40.3130176865], [-124.1788754889, 41.1422435573], [-124.2138087572, 41.9994780544], [-119.9989755866, 41.9926050889], [-120.0000349534, 38.9953978542], [-118.1146195138, 37.6444208847], [-116.3207496814, 36.3220468206], [-114.642221646, 35.0531061875], [-114.6221195138, 34.9636801214], [-114.5670841134, 34.8282103541], [-114.4845310128, 34.6530530869], [-114.3549006824, 34.464666653]]], ""type"": ""Polygon""}";37.2551445335,-119.640543961
2015-02-01;XLIX;70288;New England Patriots;Tom Brady;Bill Belichick;28;Seattle Seahawks;Russell Wilson;Pete Carroll;24;Tom Brady;University of Phoenix Stadium;Glendale;Arizona;4;Bill Vinovich;Bill Schuster;Dana McKenzie;Mark Perlman;Bob Waggoner;Terrence Miles;Tom Hill;"{""coordinates"": [[[-109.0452247791, 36.9999124212], [-109.0436728102, 31.3418991373], [-111.0237861804, 31.3346509873], [-113.3050164458, 32.0389749212], [-114.8147434152, 32.5252759873], [-114.72139, 32.72083], [-114.5898475818, 32.7162979192], [-114.479776781, 32.9163373886], [-114.6559934152, 33.0539000514], [-114.6914434477, 33.2036841904], [-114.7433007475, 33.3798749863], [-114.5485581124, 33.6095250514], [-114.4691831124, 34.0672748886], [-114.165971646, 34.2725853541], [-114.3549006824, 34.464666653], [-114.4845310128, 34.6530530869], [-114.5670841134, 34.8282103541], [-114.6221195138, 34.9636801214], [-114.642221646, 35.0531061875], [-114.5808558826, 35.2494249538], [-114.6300518462, 35.4452269557], [-114.6506965809, 35.6389102239], [-114.6501798165, 35.8542717555], [-114.7396058826, 35.9913176539], [-114.6713413156, 36.1146176214], [-114.4607340157, 36.1146176214], [-114.2691694812, 36.0436917181], [-114.1326403471, 36.0040042181], [-114.0664945138, 36.1564238551], [-114.0236289132, 36.1897551539], [-114.0305277169, 36.9940988226], [-112.4176029122, 37.0094208847], [-110.4962214832, 37.0073279892], [-109.0452247791, 36.9999124212]]], ""type"": ""Polygon""}";34.2955950831,-111.659463463
1976-01-18;X;80187;Pittsburgh Steelers;Terry Bradshaw;Chuck Noll;21;Dallas Cowboys;Roger Staubach;Tom Landry;17;Lynn Swann;Orange Bowl;Miami;Florida;4;Norm Schachter;Joe Connell;Leo Miles;Jack Fette;Bill O'Brien;Stan Javie;;"{""coordinates"": [[[-80.056539285, 26.88], [-80.088015, 26.205765], [-80.13156, 25.816775], [-80.38103, 25.20616], [-80.6797985501, 25.0799164902], [-81.1719132148, 25.2010977239], [-81.3301206123, 25.6397531194], [-81.7100715807, 25.869945787], [-82.2397808499, 26.7298416204], [-82.70515, 27.49504], [-82.85526, 27.88624], [-82.6498850166, 28.5501697861], [-82.93, 29.1], [-83.70959, 29.93656], [-84.0997965156, 30.0900499537], [-85.10882, 29.63615], [-85.28784, 29.68612], [-85.7731, 30.15261], [-86.4000695462, 30.4001602239], [-87.5303881498, 30.2741989202], [-87.4578861152, 30.4112706569], [-87.4049694486, 30.60864879], [-87.6330433825, 30.8515280218], [-87.6171528796, 30.9277249212], [-87.0456632149, 30.9848790553], [-85.0051934476, 30.9906926539], [-84.8533164131, 30.7213550888], [-83.8478997464, 30.6753113877], [-82.2260090807, 30.5255530869], [-82.151930915, 30.3509384222], [-82.022817349, 30.4403644882], [-82.0201560127, 30.7880176865], [-81.8995173815, 30.8218915878], [-81.7015966458, 30.7483301865], [-81.4904725817, 30.7298300237], [-81.31371, 30.03552], [-80.979831916, 29.17989879], [-80.535585, 28.47213], [-80.5300402493, 28.0400717229], [-80.056539285, 26.88]]], ""type"": ""Polygon""}";28.6169283051,-82.5025741003
1988-01-31;XXII;73302;Washington Redskins;Doug Williams;Joe Gibbs;42;Denver Broncos;John Elway;Dan Reeves;10;Doug Williams;Jack Murphy Stadium;San Diego;California;32;Bob McElwee;Al Conway;Dale Hamer;Jack Fette;Johnny Grier;Al Jury;Don Wedge;"{""coordinates"": [[[-114.3549006824, 34.464666653], [-114.165971646, 34.2725853541], [-114.4691831124, 34.0672748886], [-114.5485581124, 33.6095250514], [-114.7433007475, 33.3798749863], [-114.6914434477, 33.2036841904], [-114.6559934152, 33.0539000514], [-114.479776781, 32.9163373886], [-114.5898475818, 32.7162979192], [-114.72139, 32.72083], [-115.9910798816, 32.6125833196], [-117.1277288481, 32.5353270533], [-117.2959376913, 33.0462246152], [-117.944, 33.6212364312], [-118.4106022759, 33.7409092231], [-118.5198948228, 34.0277815776], [-119.081, 34.078], [-119.438840642, 34.3484771783], [-120.367816122, 34.4472258571], [-120.6228651536, 34.6086113551], [-120.7445889899, 35.1568207871], [-121.714555624, 36.1617206894], [-122.5474505215, 37.5518167181], [-122.5120004889, 37.7836113551], [-122.9533172207, 38.1137979193], [-123.7269650885, 38.9514728867], [-123.8650703538, 39.7669269883], [-124.3979577236, 40.3130176865], [-124.1788754889, 41.1422435573], [-124.2138087572, 41.9994780544], [-119.9989755866, 41.9926050889], [-120.0000349534, 38.9953978542], [-118.1146195138, 37.6444208847], [-116.3207496814, 36.3220468206], [-114.642221646, 35.0531061875], [-114.6221195138, 34.9636801214], [-114.5670841134, 34.8282103541], [-114.4845310128, 34.6530530869], [-114.3549006824, 34.464666653]]], ""type"": ""Polygon""}";37.2551445335,-119.640543961
2016-02-07;L;71088;Denver Broncos;Peyton Manning;Gary Kubiak;24;Carolina Panthers;Cam Newton;Ron Rivera;10;Von Miller;Levi's Stadium;Santa Clara;California;14;Clete Blakeman;Jeff Rice;Wayne Mackie;Rusty Baynes;Boris Cheek;Keith Ferguson;Scott Edwards;"{""coordinates"": [[[-114.3549006824, 34.464666653], [-114.165971646, 34.2725853541], [-114.4691831124, 34.0672748886], [-114.5485581124, 33.6095250514], [-114.7433007475, 33.3798749863], [-114.6914434477, 33.2036841904], [-114.6559934152, 33.0539000514], [-114.479776781, 32.9163373886], [-114.5898475818, 32.7162979192], [-114.72139, 32.72083], [-115.9910798816, 32.6125833196], [-117.1277288481, 32.5353270533], [-117.2959376913, 33.0462246152], [-117.944, 33.6212364312], [-118.4106022759, 33.7409092231], [-118.5198948228, 34.0277815776], [-119.081, 34.078], [-119.438840642, 34.3484771783], [-120.367816122, 34.4472258571], [-120.6228651536, 34.6086113551], [-120.7445889899, 35.1568207871], [-121.714555624, 36.1617206894], [-122.5474505215, 37.5518167181], [-122.5120004889, 37.7836113551], [-122.9533172207, 38.1137979193], [-123.7269650885, 38.9514728867], [-123.8650703538, 39.7669269883], [-124.3979577236, 40.3130176865], [-124.1788754889, 41.1422435573], [-124.2138087572, 41.9994780544], [-119.9989755866, 41.9926050889], [-120.0000349534, 38.9953978542], [-118.1146195138, 37.6444208847], [-116.3207496814, 36.3220468206], [-114.642221646, 35.0531061875], [-114.6221195138, 34.9636801214], [-114.5670841134, 34.8282103541], [-114.4845310128, 34.6530530869], [-114.3549006824, 34.464666653]]], ""type"": ""Polygon""}";37.2551445335,-119.640543961
1983-01-30;XVII;103667;Washington Redskins;Joe Theismann;Joe Gibbs;27;Miami Dolphins;David Woodley;Don Shula;17;John Riggins;Rose Bowl;Pasadena;California;10;Jerry Markbreit;Art Demmas;Dale Hamer;Bill Reynolds;Don Orr;Dick Hantak;Dave Parry;"{""coordinates"": [[[-114.3549006824, 34.464666653], [-114.165971646, 34.2725853541], [-114.4691831124, 34.0672748886], [-114.5485581124, 33.6095250514], [-114.7433007475, 33.3798749863], [-114.6914434477, 33.2036841904], [-114.6559934152, 33.0539000514], [-114.479776781, 32.9163373886], [-114.5898475818, 32.7162979192], [-114.72139, 32.72083], [-115.9910798816, 32.6125833196], [-117.1277288481, 32.5353270533], [-117.2959376913, 33.0462246152], [-117.944, 33.6212364312], [-118.4106022759, 33.7409092231], [-118.5198948228, 34.0277815776], [-119.081, 34.078], [-119.438840642, 34.3484771783], [-120.367816122, 34.4472258571], [-120.6228651536, 34.6086113551], [-120.7445889899, 35.1568207871], [-121.714555624, 36.1617206894], [-122.5474505215, 37.5518167181], [-122.5120004889, 37.7836113551], [-122.9533172207, 38.1137979193], [-123.7269650885, 38.9514728867], [-123.8650703538, 39.7669269883], [-124.3979577236, 40.3130176865], [-124.1788754889, 41.1422435573], [-124.2138087572, 41.9994780544], [-119.9989755866, 41.9926050889], [-120.0000349534, 38.9953978542], [-118.1146195138, 37.6444208847], [-116.3207496814, 36.3220468206], [-114.642221646, 35.0531061875], [-114.6221195138, 34.9636801214], [-114.5670841134, 34.8282103541], [-114.4845310128, 34.6530530869], [-114.3549006824, 34.464666653]]], ""type"": ""Polygon""}";37.2551445335,-119.640543961
1990-01-28;XXIV;72919;San Francisco 49ers;Joe Montana;George Seifert;55;Denver Broncos;John Elway;Dan Reeves;10;Joe Montana;Louisiana Superdome;New Orleans;Louisiana;45;Dick Jorgensen;Hendi Ancich;Earnie Frantz;Ron Blum;Don Orr;Al Jury;Gerald Austin;"{""coordinates"": [[[-89.21767, 29.29108], [-89.4083872139, 29.1597708196], [-89.77928, 29.30714], [-90.15463, 29.11743], [-90.880225, 29.148535], [-91.626785, 29.677], [-92.49906, 29.5523], [-93.22637, 29.78375], [-93.84842, 29.71363], [-93.9184736804, 29.8217717555], [-93.8168778145, 29.9683519557], [-93.6671195137, 30.1006436223], [-93.6644840157, 30.3001404892], [-93.7375028145, 30.3668030869], [-93.6501954821, 30.6054706894], [-93.5861683825, 30.7139395208], [-93.4898435127, 31.0796019557], [-93.5782360502, 31.2161310898], [-93.6941204496, 31.4436624212], [-93.7793090482, 31.67543122], [-93.8348612129, 31.8299437526], [-93.9989080472, 31.9426500514], [-94.0597570463, 33.0121196559], [-93.0940278796, 33.0105176865], [-92.0013038806, 33.0438748235], [-91.1562391833, 33.0100009222], [-91.0847965157, 32.9528467881], [-91.1757987129, 32.8083853216], [-91.0308204821, 32.6025322535], [-91.0720841133, 32.4787155218], [-90.9429705472, 32.3067363551], [-91.0816184151, 32.2045978867], [-91.1281788806, 32.0156946884], [-91.3213195463, 31.8595801865], [-91.4112882149, 31.6500322535], [-91.5022904121, 31.408729153], [-91.6245310127, 31.297082221], [-91.5837841459, 31.0473300237], [-90.7016674466, 31.0155748561], [-89.7592185127, 31.0134561224], [-89.7877955798, 30.8472905543], [-89.8539414131, 30.68324372], [-89.790456916, 30.5567914902], [-89.6586820137, 30.4408812526], [-89.6232319811, 30.2752582871], [-89.6047059802, 30.1762979192], [-89.413735, 29.89419], [-89.43, 29.48864], [-89.21767, 29.29108]]], ""type"": ""Polygon""}";31.0480777894,-91.9572061819
1972-01-16;VI;81023;Dallas Cowboys;Roger Staubach;Tom Landry;24;Miami Dolphins;Bob Griese;Don Shula;3;Roger Staubach;Tulane Stadium;New Orleans;Louisiana;21;Jim Tunney;Joe Connell;Al Sabato;Art Holst;Bob Wortman;Ralph Vandenberg;;"{""coordinates"": [[[-89.21767, 29.29108], [-89.4083872139, 29.1597708196], [-89.77928, 29.30714], [-90.15463, 29.11743], [-90.880225, 29.148535], [-91.626785, 29.677], [-92.49906, 29.5523], [-93.22637, 29.78375], [-93.84842, 29.71363], [-93.9184736804, 29.8217717555], [-93.8168778145, 29.9683519557], [-93.6671195137, 30.1006436223], [-93.6644840157, 30.3001404892], [-93.7375028145, 30.3668030869], [-93.6501954821, 30.6054706894], [-93.5861683825, 30.7139395208], [-93.4898435127, 31.0796019557], [-93.5782360502, 31.2161310898], [-93.6941204496, 31.4436624212], [-93.7793090482, 31.67543122], [-93.8348612129, 31.8299437526], [-93.9989080472, 31.9426500514], [-94.0597570463, 33.0121196559], [-93.0940278796, 33.0105176865], [-92.0013038806, 33.0438748235], [-91.1562391833, 33.0100009222], [-91.0847965157, 32.9528467881], [-91.1757987129, 32.8083853216], [-91.0308204821, 32.6025322535], [-91.0720841133, 32.4787155218], [-90.9429705472, 32.3067363551], [-91.0816184151, 32.2045978867], [-91.1281788806, 32.0156946884], [-91.3213195463, 31.8595801865], [-91.4112882149, 31.6500322535], [-91.5022904121, 31.408729153], [-91.6245310127, 31.297082221], [-91.5837841459, 31.0473300237], [-90.7016674466, 31.0155748561], [-89.7592185127, 31.0134561224], [-89.7877955798, 30.8472905543], [-89.8539414131, 30.68324372], [-89.790456916, 30.5567914902], [-89.6586820137, 30.4408812526], [-89.6232319811, 30.2752582871], [-89.6047059802, 30.1762979192], [-89.413735, 29.89419], [-89.43, 29.48864], [-89.21767, 29.29108]]], ""type"": ""Polygon""}";31.0480777894,-91.9572061819
1992-01-26;XXVI;63130;Washington Redskins;Mark Rypien;Joe Gibbs;37;Buffalo Bills;Jim Kelly;Marv Levy;24;Mark Rypien;Metrodome;Minneapolis;Minnesota;13;Jerry Markbreit;Bob Boylston;Dale Williams;Ron Blum;Ed Merrifield;Paul Baetz;Dick Creed;"{""coordinates"": [[[-89.5994091459, 48.0102739528], [-89.4888845572, 48.0134388786], [-89.5226954821, 47.9605353867], [-89.6136976794, 47.8192520209], [-89.7280059476, 47.6419760199], [-89.8428309802, 47.4647258571], [-89.9576560127, 47.2869072536], [-90.1317539131, 47.2927466905], [-90.3058518135, 47.2980176865], [-90.4799497139, 47.3038571234], [-90.6540476143, 47.3091281195], [-90.8577819486, 47.2128290879], [-91.0609736804, 47.1170468207], [-91.2647080147, 47.0212645534], [-91.468442349, 46.9249655218], [-91.5922590808, 46.8762604844], [-91.7166184151, 46.8276071234], [-91.8409777494, 46.7783853216], [-91.9647944812, 46.7297061224], [-92.0118975492, 46.711722724], [-92.2748789131, 46.656144721], [-92.264827847, 46.0952228867], [-92.2965830147, 46.0962822536], [-92.5436997139, 45.9856946885], [-92.75696835, 45.8899124212], [-92.899827847, 45.7057634548], [-92.6892205472, 45.5184363877], [-92.7654174467, 45.267082221], [-92.7664768135, 44.9961426865], [-92.79665585, 44.7760269232], [-92.5050715808, 44.5839197861], [-92.3854923164, 44.5749280869], [-92.0621528796, 44.4325853542], [-91.9499891833, 44.3648375514], [-91.8796058825, 44.2574280869], [-91.6277091133, 44.0854489203], [-91.2895902168, 43.9372925889], [-91.2572924466, 43.8547394883], [-91.2546569486, 43.6139789902], [-91.2281986153, 43.5012468532], [-92.540004849, 43.5197728542], [-94.001026781, 43.513416653], [-95.3599360827, 43.5001874863], [-96.4526600818, 43.5017894557], [-96.4394309151, 44.4357634548], [-96.5606121488, 45.3930176865], [-96.7357694161, 45.4708165554], [-96.8347039457, 45.6253290879], [-96.7807279122, 45.7607988552], [-96.5568914457, 45.8724457871], [-96.5394506498, 46.0179666205], [-96.5389080473, 46.1994800889], [-96.6013590157, 46.3513571234], [-96.6854882474, 46.513285224], [-96.7336506823, 46.7164769557], [-96.7458204821, 46.9445250515], [-96.7796943835, 46.9990436875], [-96.8204154122, 47.2922040879], [-96.8246528796, 47.4266144883], [-96.8442382474, 47.5461937526], [-96.8939768135, 47.7488687201], [-97.0151580473, 47.9542050238], [-97.1310424467, 48.1372946234], [-97.1485090808, 48.3187822536], [-97.1612214831, 48.5145842556], [-97.1273475818, 48.6421216905], [-97.1204746163, 48.7585228542], [-97.2141381498, 48.9024417181], [-97.2289434476, 49.0008853216], [-95.1588372465, 48.9998259548], [-95.1562017484, 49.3840143907], [-94.8175402494, 49.3892853867], [-94.6402642484, 48.8400165879], [-94.3291204496, 48.6706729193], [-93.6306101143, 48.6092813177], [-92.6098455472, 48.4500145534], [-91.6398789131, 48.1399301214], [-90.8302642484, 48.2701030544], [-89.5999517484, 48.0102739528], [-89.5994091459, 48.0102739528]]], ""type"": ""Polygon""}";46.3600731634,-94.1774361191
1997-01-26;XXXI;72301;Green Bay Packers;Brett Favre;Mike Holmgren;35;New England Patriots;Drew Bledsoe;Bill Parcells;21;Desmond Howard;Louisiana Superdome;New Orleans;Louisiana;14;Gerald Austin;Ron Botchan;Earnie Frantz;Jeff Bergman;Phil Luckett;Scott Steenson;Tom Fincken;"{""coordinates"": [[[-89.21767, 29.29108], [-89.4083872139, 29.1597708196], [-89.77928, 29.30714], [-90.15463, 29.11743], [-90.880225, 29.148535], [-91.626785, 29.677], [-92.49906, 29.5523], [-93.22637, 29.78375], [-93.84842, 29.71363], [-93.9184736804, 29.8217717555], [-93.8168778145, 29.9683519557], [-93.6671195137, 30.1006436223], [-93.6644840157, 30.3001404892], [-93.7375028145, 30.3668030869], [-93.6501954821, 30.6054706894], [-93.5861683825, 30.7139395208], [-93.4898435127, 31.0796019557], [-93.5782360502, 31.2161310898], [-93.6941204496, 31.4436624212], [-93.7793090482, 31.67543122], [-93.8348612129, 31.8299437526], [-93.9989080472, 31.9426500514], [-94.0597570463, 33.0121196559], [-93.0940278796, 33.0105176865], [-92.0013038806, 33.0438748235], [-91.1562391833, 33.0100009222], [-91.0847965157, 32.9528467881], [-91.1757987129, 32.8083853216], [-91.0308204821, 32.6025322535], [-91.0720841133, 32.4787155218], [-90.9429705472, 32.3067363551], [-91.0816184151, 32.2045978867], [-91.1281788806, 32.0156946884], [-91.3213195463, 31.8595801865], [-91.4112882149, 31.6500322535], [-91.5022904121, 31.408729153], [-91.6245310127, 31.297082221], [-91.5837841459, 31.0473300237], [-90.7016674466, 31.0155748561], [-89.7592185127, 31.0134561224], [-89.7877955798, 30.8472905543], [-89.8539414131, 30.68324372], [-89.790456916, 30.5567914902], [-89.6586820137, 30.4408812526], [-89.6232319811, 30.2752582871], [-89.6047059802, 30.1762979192], [-89.413735, 29.89419], [-89.43, 29.48864], [-89.21767, 29.29108]]], ""type"": ""Polygon""}";31.0480777894,-91.9572061819
2017-02-05;LI;70807;New England Patriots;Tom Brady;Bill Belichick;34;Atlanta Falcons;Matt Ryan;Dan Quinn;28;Tom Brady;NRG Stadium;Houston;Texas;6;Carl Cheffers;Dan Ferrell;Kent Payne;Jeff Seeman;Doug Rosenbaum;Todd Prukop;Dyrol Prioleau;"{""coordinates"": [[[-93.5782360502, 31.2161310898], [-93.4898435127, 31.0796019557], [-93.5861683825, 30.7139395208], [-93.6501954821, 30.6054706894], [-93.7375028145, 30.3668030869], [-93.6644840157, 30.3001404892], [-93.6671195137, 30.1006436223], [-93.8168778145, 29.9683519557], [-93.9184736804, 29.8217717555], [-93.84842, 29.71363], [-94.6900028145, 29.4799321559], [-95.6001798165, 28.73855622], [-96.5939434476, 28.3072905543], [-97.1400341459, 27.8299811874], [-97.3702268135, 27.3801895208], [-97.3797611153, 26.6901541204], [-97.3300225492, 26.2102092555], [-97.1400341459, 25.869945787], [-97.5300361804, 25.8397925888], [-98.2401737129, 26.0599341904], [-99.020177782, 26.3700186223], [-99.3001090157, 26.8399124212], [-99.520224779, 27.5399988876], [-100.1102662829, 28.1099124212], [-100.4558007475, 28.696233222], [-100.9574497139, 29.380971788], [-101.6622904122, 29.7794229192], [-102.4798632475, 29.7598633896], [-103.1101090157, 28.9698082545], [-103.9398258126, 29.2698416204], [-104.4568226794, 29.57199372], [-104.7055413481, 30.1218051214], [-105.0373298816, 30.6440988225], [-105.6315830147, 31.0838394231], [-106.142766283, 31.3997374537], [-106.5073435128, 31.7542894557], [-106.6195330473, 31.9140988226], [-106.6301267159, 31.9992874212], [-105.73000078, 31.9992874212], [-103.9297747465, 31.9992874212], [-103.0016143461, 31.9992874212], [-103.0016143461, 33.8799478216], [-103.0016143461, 36.4993228216], [-102.0014945137, 36.4993228216], [-101.0008320788, 36.4993228216], [-100.0001954822, 36.4993228216], [-100.0001954822, 35.5198477239], [-100.0001954822, 34.5652289902], [-99.7615278796, 34.4577936875], [-99.5990830147, 34.3762999537], [-99.3360758126, 34.4429625514], [-99.1874027169, 34.2355591904], [-98.8518934802, 34.1646332871], [-98.553978848, 34.1106572536], [-98.0883225167, 34.1344800888], [-97.9570902169, 33.8936937526], [-97.6570310128, 33.9937134873], [-97.3765830147, 33.8381415879], [-97.104067349, 33.7735977239], [-96.9479528471, 33.9180591904], [-96.7966184151, 33.7513510198], [-96.4627111478, 33.8053270534], [-96.3161309476, 33.7561310898], [-96.1489060127, 33.7979373235], [-95.9774694486, 33.8794310573], [-95.7694976469, 33.8810071884], [-95.4181237455, 33.8704135198], [-95.1905924141, 33.9381613226], [-94.9101444161, 33.8317853867], [-94.479912279, 33.6359833847], [-94.4275382149, 33.5703801539], [-94.2333381823, 33.5836093206], [-94.0020861478, 33.5799144557], [-94.0597570463, 33.0121196559], [-93.9989080472, 31.9426500514], [-93.8348612129, 31.8299437526], [-93.7793090482, 31.67543122], [-93.6941204496, 31.4436624212], [-93.5782360502, 31.2161310898]]], ""type"": ""Polygon""}";31.4555082562,-99.328675661
